date,open,close
2019-05-10,124.91,127.13
2019-05-13,124.11,123.35
2019-05-14,123.87,124.73
2019-05-15,124.26,126.02
2019-05-16,126.75,128.93
2019-05-17,128.305,128.07
2019-05-20,126.52,126.22
2019-05-21,127.43,126.9
2019-05-22,126.62,127.67
2019-05-23,126.2,126.18
2019-05-24,126.91,126.24
2019-05-28,126.98,126.16
2019-05-29,125.38,124.94
2019-05-30,125.26,125.73
2019-05-31,124.23,123.68
2019-06-03,123.85,119.84
2019-06-04,121.28,123.16
2019-06-05,124.95,125.83
2019-06-06,126.44,127.82
2019-06-07,129.19,131.4
2019-06-10,132.4,132.6
2019-06-11,133.88,132.1
2019-06-12,131.4,131.49
2019-06-13,131.98,132.32
2019-06-14,132.26,132.45
2019-06-17,132.63,132.85
2019-06-18,134.19,135.16
2019-06-19,135.0,135.69
2019-06-20,137.45,136.95
2019-06-21,136.58,136.97
